review_text,category,rating,username,ip_address,post_timestamp,review_timestamp,label
This product is the best I ever used ever best product ever wow amazing.,Electronics,4,andersonkim,107.253.102.33,1756096948607,1756099888607,CG
Good good good nice nice nice awesome awesome awesome.,Toys,5,nrivera,236.100.193.176,1747979428607,1747980388607,CG
Customer service was very responsive and helpful.,Beauty,2,hlee,246.119.107.230,1751995708607,1751996848607,OR
Very satisfied not fake review trust me genuine genuine genuine.,Beauty,5,emccarthy,93.102.152.84,1747420048607,1747422568607,CG
Customer service was very responsive and helpful.,Home,1,xanderson,99.117.141.180,1752511648607,1752512788607,OR
This product is the best I ever used ever best product ever wow amazing.,Toys,5,stanleydaniel,95.110.169.131,1748160748607,1748163568607,CG
Customer service was very responsive and helpful.,Clothing,4,millerlisa,44.73.164.156,1748799868607,1748800348607,OR
Fast delivery and great packaging.,Food,1,jacksonrichard,11.231.32.59,1756897048607,1756900168607,OR
Good good good nice nice nice awesome awesome awesome.,Food,2,haley39,44.245.6.104,1749655708607,1749657148607,CG
Good good good nice nice nice awesome awesome awesome.,Clothing,5,martinkaren,249.5.64.23,1755005848607,1755006988607,CG
Very satisfied not fake review trust me genuine genuine genuine.,Clothing,1,emccarthy,175.247.170.127,1749206248607,1749207148607,CG
Good good good nice nice nice awesome awesome awesome.,Home,4,troysmith,53.218.56.14,1749481528607,1749483328607,CG
The product quality is excellent and exactly as described.,Beauty,4,susanwatson,80.185.203.226,1745388268607,1745389888607,OR
Good good good nice nice nice awesome awesome awesome.,Electronics,4,andersonkim,146.176.77.82,1751910568607,1751912428607,CG
I’ve been using it for a week and it’s performing really well.,Toys,3,wwarner,140.69.4.113,1750430488607,1750433968607,OR
Excellent quality very very very good nice and awesome product.,Electronics,3,danacampos,51.137.93.94,1746361108607,1746362548607,CG
I’ve been using it for a week and it’s performing really well.,Toys,5,danacampos,39.85.31.157,1754935708607,1754938708607,OR
Very satisfied not fake review trust me genuine genuine genuine.,Beauty,2,rhonda84,169.114.69.58,1753470688607,1753473208607,CG
Fast delivery and great packaging.,Electronics,2,fduke,212.251.236.72,1756218208607,1756221088607,OR
Amazing experience! Totally worth the money.,Home,5,vincent05,15.1.161.79,1746405688607,1746405748607,OR
The product quality is excellent and exactly as described.,Clothing,4,joshua83,205.123.22.30,1745156488607,1745159488607,OR
Amazing experience! Totally worth the money.,Home,3,sherri27,142.72.244.243,1747899988607,1747901908607,OR
Very satisfied not fake review trust me genuine genuine genuine.,Home,2,alec82,27.227.227.115,1745117068607,1745119648607,CG
Good good good nice nice nice awesome awesome awesome.,Food,4,kimberlymcmahon,162.103.239.23,1746525088607,1746526648607,CG
Good good good nice nice nice awesome awesome awesome.,Books,3,andersonmatthew,49.209.177.77,1755553528607,1755554188607,CG
This product is the best I ever used ever best product ever wow amazing.,Beauty,3,bryantmark,177.254.59.118,1752037348607,1752040228607,CG
Very satisfied not fake review trust me genuine genuine genuine.,Toys,1,kevinpowell,165.214.213.214,1752089308607,1752090028607,CG
Fast delivery and great packaging.,Food,5,ericvillarreal,234.130.109.219,1745694688607,1745695708607,OR
Good good good nice nice nice awesome awesome awesome.,Home,3,zrobinson,184.127.167.147,1745820748607,1745823868607,CG
Excellent quality very very very good nice and awesome product.,Toys,1,haley39,248.129.14.50,1744952968607,1744953088607,CG
Excellent quality very very very good nice and awesome product.,Home,1,lauracarroll,48.249.145.36,1751385388607,1751385568607,CG
The product quality is excellent and exactly as described.,Electronics,4,michael50,163.113.113.192,1753518568607,1753521568607,OR
Amazing experience! Totally worth the money.,Beauty,5,juliemartinez,180.245.123.31,1750993408607,1750994548607,OR
This product is the best I ever used ever best product ever wow amazing.,Toys,3,xanderson,87.58.158.204,1745522608607,1745523088607,CG
Fast delivery and great packaging.,Electronics,1,emccarthy,172.87.111.14,1755863728607,1755866008607,OR
Very satisfied not fake review trust me genuine genuine genuine.,Beauty,4,martinkaren,199.252.62.222,1749162448607,1749165868607,CG
The product quality is excellent and exactly as described.,Home,3,nrivera,211.20.152.21,1752956668607,1752957148607,OR
The product quality is excellent and exactly as described.,Food,3,lauracarroll,185.8.73.87,1749874888607,1749876868607,OR
Very satisfied not fake review trust me genuine genuine genuine.,Food,1,yharrison,222.175.215.10,1749172948607,1749173548607,CG
The product quality is excellent and exactly as described.,Books,4,colemanwhitney,236.55.200.50,1745459488607,1745462908607,OR
Amazing experience! Totally worth the money.,Beauty,2,brettwiggins,111.74.86.145,1748021668607,1748023588607,OR
I’ve been using it for a week and it’s performing really well.,Clothing,2,mark18,222.161.186.215,1746577708607,1746579028607,OR
Fast delivery and great packaging.,Electronics,1,elizabethallen,27.246.91.240,1755681148607,1755682228607,OR
Fast delivery and great packaging.,Beauty,1,hallcaleb,179.253.7.217,1754169208607,1754171128607,OR
Excellent quality very very very good nice and awesome product.,Beauty,4,virginia01,205.163.164.31,1752472468607,1752473488607,CG
Very satisfied not fake review trust me genuine genuine genuine.,Toys,4,goldenmonica,144.11.124.233,1749574168607,1749577768607,CG
The product quality is excellent and exactly as described.,Books,2,collinsanna,15.53.236.225,1755960988607,1755964468607,OR
The item works perfect perfect perfect wow wow wow.,Beauty,2,troysmith,168.145.23.134,1750857688607,1750858768607,CG
I’ve been using it for a week and it’s performing really well.,Books,3,nrivera,116.116.146.235,1753032928607,1753035868607,OR
Excellent quality very very very good nice and awesome product.,Electronics,5,jgonzalez,240.119.181.31,1745532688607,1745536288607,CG
Very satisfied not fake review trust me genuine genuine genuine.,Electronics,4,virginia01,51.135.177.254,1750148968607,1750149568607,CG
The product quality is excellent and exactly as described.,Home,2,anthonyramos,211.87.41.165,1751912248607,1751914288607,OR
The item works perfect perfect perfect wow wow wow.,Toys,4,shannonfoster,42.107.51.89,1751631748607,1751632048607,CG
Excellent quality very very very good nice and awesome product.,Toys,2,nrivera,133.54.158.235,1754876128607,1754876548607,CG
Amazing experience! Totally worth the money.,Toys,1,bryantmark,13.235.83.41,1745967748607,1745970988607,OR
Fast delivery and great packaging.,Food,2,martinkaren,246.50.108.12,1747722808607,1747723468607,OR
Customer service was very responsive and helpful.,Books,3,othornton,231.163.176.99,1746616348607,1746618328607,OR
The item works perfect perfect perfect wow wow wow.,Electronics,5,lauracarroll,129.208.244.183,1748857828607,1748858068607,CG
The product quality is excellent and exactly as described.,Beauty,4,ericweeks,166.125.2.47,1755101368607,1755102448607,OR
I’ve been using it for a week and it’s performing really well.,Toys,3,lgarrison,76.207.187.101,1747168288607,1747171108607,OR
The product quality is excellent and exactly as described.,Clothing,3,ufox,160.130.30.19,1755275248607,1755276568607,OR
Customer service was very responsive and helpful.,Electronics,3,audrey24,187.121.10.49,1749688648607,1749690568607,OR
Customer service was very responsive and helpful.,Books,5,haley39,28.199.141.86,1753097968607,1753098388607,OR
The item works perfect perfect perfect wow wow wow.,Food,4,stanleydaniel,74.231.228.58,1748994628607,1748997568607,CG
Customer service was very responsive and helpful.,Beauty,5,kevinpowell,72.149.118.69,1746253468607,1746255088607,OR
I’ve been using it for a week and it’s performing really well.,Home,5,ericvillarreal,163.49.181.42,1754617828607,1754619688607,OR
The product quality is excellent and exactly as described.,Books,3,bryantmark,213.220.168.127,1756503208607,1756504648607,OR
The item works perfect perfect perfect wow wow wow.,Beauty,4,kathryn58,144.168.200.232,1746666928607,1746668488607,CG
Customer service was very responsive and helpful.,Food,4,gjackson,218.202.232.51,1749696268607,1749698488607,OR
Excellent quality very very very good nice and awesome product.,Clothing,2,nrivera,104.181.253.192,1756800868607,1756803748607,CG
Amazing experience! Totally worth the money.,Clothing,1,tjones,81.166.138.69,1749550648607,1749552988607,OR
This product is the best I ever used ever best product ever wow amazing.,Food,4,mark20,160.165.157.88,1750591648607,1750592188607,CG
I’ve been using it for a week and it’s performing really well.,Books,2,uadams,178.10.40.13,1751168368607,1751169208607,OR
I’ve been using it for a week and it’s performing really well.,Clothing,1,justinpeters,37.149.42.141,1746077248607,1746079588607,OR
The item works perfect perfect perfect wow wow wow.,Home,5,rhonda84,212.37.71.157,1754221168607,1754221648607,CG
Good good good nice nice nice awesome awesome awesome.,Clothing,4,colemanwhitney,166.45.57.247,1750749508607,1750750588607,CG
This product is the best I ever used ever best product ever wow amazing.,Home,3,nrivera,26.188.31.182,1748376628607,1748380228607,CG
I’ve been using it for a week and it’s performing really well.,Clothing,3,shannonfoster,229.191.249.255,1754550628607,1754553868607,OR
Amazing experience! Totally worth the money.,Food,5,perrysteven,111.160.17.68,1753030588607,1753032148607,OR
Fast delivery and great packaging.,Food,1,farrellandrea,176.58.180.122,1745555968607,1745558608607,OR
Customer service was very responsive and helpful.,Books,5,brettwiggins,40.69.241.227,1752309268607,1752311788607,OR
Excellent quality very very very good nice and awesome product.,Home,4,millerlisa,169.194.104.150,1751657428607,1751657728607,CG
This product is the best I ever used ever best product ever wow amazing.,Toys,1,fduke,154.137.240.211,1748284228607,1748286748607,CG
Very satisfied not fake review trust me genuine genuine genuine.,Food,4,elizabethallen,105.42.20.98,1745988088607,1745990428607,CG
The product quality is excellent and exactly as described.,Home,4,jacksonrichard,2.185.79.239,1749147448607,1749147928607,OR
I’ve been using it for a week and it’s performing really well.,Home,3,wernerjames,47.198.113.11,1754231068607,1754231428607,OR
Customer service was very responsive and helpful.,Electronics,5,jacksonrichard,106.147.45.255,1752303568607,1752305788607,OR
Excellent quality very very very good nice and awesome product.,Food,2,hsolis,38.5.226.13,1753800448607,1753800568607,CG
Fast delivery and great packaging.,Electronics,3,jessica95,95.235.249.210,1754099908607,1754102908607,OR
Very satisfied not fake review trust me genuine genuine genuine.,Books,1,nicholas99,244.148.242.162,1747979548607,1747979848607,CG
The item works perfect perfect perfect wow wow wow.,Books,5,ktrujillo,125.91.243.249,1755315628607,1755317968607,CG
Good good good nice nice nice awesome awesome awesome.,Beauty,4,haley39,135.151.77.132,1745182048607,1745183728607,CG
Very satisfied not fake review trust me genuine genuine genuine.,Clothing,4,zrobinson,105.238.185.172,1754479648607,1754481748607,CG
Excellent quality very very very good nice and awesome product.,Electronics,2,hlee,81.96.230.95,1755336868607,1755340288607,CG
The item works perfect perfect perfect wow wow wow.,Toys,3,alicia63,7.87.245.209,1749202288607,1749204148607,CG
Very satisfied not fake review trust me genuine genuine genuine.,Food,2,michael50,238.122.11.45,1750137268607,1750140388607,CG
I’ve been using it for a week and it’s performing really well.,Books,3,mcculloughcheryl,174.72.19.20,1756120228607,1756122868607,OR
Very satisfied not fake review trust me genuine genuine genuine.,Books,3,anthonyramos,1.81.254.83,1751762728607,1751763628607,CG
The item works perfect perfect perfect wow wow wow.,Electronics,5,hsolis,43.165.145.200,1755969748607,1755970768607,CG
Excellent quality very very very good nice and awesome product.,Books,3,scottmary,216.204.207.22,1755062428607,1755065608607,CG
I’ve been using it for a week and it’s performing really well.,Food,3,iklein,91.146.247.152,1755242848607,1755243508607,OR
Fast delivery and great packaging.,Electronics,2,mark18,103.169.179.14,1745607988607,1745610928607,OR
The item works perfect perfect perfect wow wow wow.,Clothing,5,erik50,105.197.91.12,1746402388607,1746404788607,CG
Fast delivery and great packaging.,Toys,5,ktrujillo,139.81.37.233,1748043508607,1748043928607,OR
Very satisfied not fake review trust me genuine genuine genuine.,Food,4,goldenmonica,183.128.244.179,1747068088607,1747069048607,CG
Very satisfied not fake review trust me genuine genuine genuine.,Books,4,lauracarroll,248.166.221.67,1754242948607,1754243968607,CG
The product quality is excellent and exactly as described.,Clothing,5,xanderson,251.108.186.173,1753626088607,1753626688607,OR
The product quality is excellent and exactly as described.,Electronics,3,alexandrabenitez,173.4.197.127,1752321328607,1752323728607,OR
The item works perfect perfect perfect wow wow wow.,Beauty,4,xmaldonado,216.97.215.55,1745088628607,1745091328607,CG
I’ve been using it for a week and it’s performing really well.,Books,3,ebaldwin,212.250.33.131,1749008068607,1749010468607,OR
Fast delivery and great packaging.,Food,5,joebaker,81.204.120.219,1749586528607,1749586948607,OR
Amazing experience! Totally worth the money.,Food,5,michael50,170.43.212.117,1755696988607,1755697708607,OR
Good good good nice nice nice awesome awesome awesome.,Home,5,jacksonrichard,4.244.81.62,1746265348607,1746267388607,CG
I’ve been using it for a week and it’s performing really well.,Food,5,ufox,64.101.205.20,1748441788607,1748443888607,OR
Customer service was very responsive and helpful.,Toys,1,andersonkim,35.182.24.40,1754111788607,1754113288607,OR
Amazing experience! Totally worth the money.,Beauty,5,kevinpowell,143.133.21.138,1752336148607,1752337768607,OR
This product is the best I ever used ever best product ever wow amazing.,Home,5,ericweeks,69.249.65.80,1747815508607,1747817728607,CG
Customer service was very responsive and helpful.,Clothing,1,toddboyle,199.183.12.110,1746379408607,1746382948607,OR
Fast delivery and great packaging.,Electronics,1,alexandrabenitez,102.119.142.171,1746807508607,1746810628607,OR
The product quality is excellent and exactly as described.,Home,1,rhondastrickland,127.143.153.83,1748792548607,1748794468607,OR
Amazing experience! Totally worth the money.,Electronics,4,alexandrabenitez,100.124.5.249,1749279268607,1749280888607,OR
I’ve been using it for a week and it’s performing really well.,Electronics,3,farrellandrea,253.221.223.119,1748699428607,1748699488607,OR
The item works perfect perfect perfect wow wow wow.,Electronics,3,hsolis,66.47.1.49,1746398068607,1746400108607,CG
Very satisfied not fake review trust me genuine genuine genuine.,Clothing,5,icherry,198.189.231.219,1749463288607,1749464788607,CG
Customer service was very responsive and helpful.,Electronics,1,brettwiggins,58.55.115.94,1753457308607,1753460368607,OR
Good good good nice nice nice awesome awesome awesome.,Toys,5,haley39,63.98.17.75,1745724868607,1745727748607,CG
Amazing experience! Totally worth the money.,Books,2,danacampos,98.116.131.239,1753197448607,1753198168607,OR
Amazing experience! Totally worth the money.,Beauty,3,alicia63,7.81.138.189,1747361368607,1747361848607,OR
This product is the best I ever used ever best product ever wow amazing.,Books,2,maurice28,122.133.41.253,1746498928607,1746501568607,CG
The product quality is excellent and exactly as described.,Beauty,1,hlee,163.19.56.165,1748385328607,1748385448607,OR
Amazing experience! Totally worth the money.,Electronics,1,ufox,180.165.192.180,1756445488607,1756448668607,OR
Good good good nice nice nice awesome awesome awesome.,Toys,4,jgonzalez,173.20.229.106,1756904308607,1756905748607,CG
Very satisfied not fake review trust me genuine genuine genuine.,Books,4,yreyes,234.177.177.197,1745567008607,1745567668607,CG
Customer service was very responsive and helpful.,Home,2,maurice28,70.246.84.230,1754612488607,1754614168607,OR
Good good good nice nice nice awesome awesome awesome.,Clothing,5,ericweeks,110.126.190.2,1748692348607,1748694508607,CG
Customer service was very responsive and helpful.,Electronics,2,williamstanya,195.175.189.61,1756471888607,1756473328607,OR
I’ve been using it for a week and it’s performing really well.,Home,4,kathryn58,210.53.5.2,1751130388607,1751132908607,OR
Amazing experience! Totally worth the money.,Toys,1,uadams,227.88.194.212,1752123568607,1752126748607,OR
The product quality is excellent and exactly as described.,Clothing,4,hallcaleb,50.242.168.76,1754707288607,1754707768607,OR
I’ve been using it for a week and it’s performing really well.,Toys,4,gabrielcontreras,44.15.72.174,1746143128607,1746145288607,OR
I’ve been using it for a week and it’s performing really well.,Beauty,2,wernerjames,245.180.98.112,1750262788607,1750264708607,OR
This product is the best I ever used ever best product ever wow amazing.,Beauty,4,erik50,81.29.218.139,1754880508607,1754884048607,CG
Amazing experience! Totally worth the money.,Clothing,4,zrobinson,149.35.74.186,1753542568607,1753545688607,OR
The product quality is excellent and exactly as described.,Electronics,3,alec82,92.83.168.164,1754740168607,1754743288607,OR
This product is the best I ever used ever best product ever wow amazing.,Electronics,3,loganmoreno,63.41.71.97,1754730628607,1754734108607,CG
Very satisfied not fake review trust me genuine genuine genuine.,Electronics,3,xmaldonado,38.244.60.92,1750728328607,1750728568607,CG
This product is the best I ever used ever best product ever wow amazing.,Electronics,5,kimberlymcmahon,119.178.23.139,1749909388607,1749910228607,CG
Good good good nice nice nice awesome awesome awesome.,Home,4,gabrielcontreras,144.137.242.253,1756752868607,1756753168607,CG
Good good good nice nice nice awesome awesome awesome.,Beauty,4,perrysteven,180.85.135.149,1754232628607,1754235208607,CG
Customer service was very responsive and helpful.,Electronics,2,robert40,208.79.63.217,1749519328607,1749522268607,OR
Excellent quality very very very good nice and awesome product.,Clothing,4,uadams,48.209.43.146,1751825728607,1751828788607,CG
I’ve been using it for a week and it’s performing really well.,Books,1,nrivera,50.117.190.22,1754296888607,1754299528607,OR
Very satisfied not fake review trust me genuine genuine genuine.,Books,5,toddboyle,182.48.67.65,1750907008607,1750909768607,CG
Excellent quality very very very good nice and awesome product.,Home,3,brettwiggins,62.8.33.122,1752981628607,1752982828607,CG
Very satisfied not fake review trust me genuine genuine genuine.,Beauty,1,jgonzalez,48.102.105.38,1754313208607,1754315728607,CG
This product is the best I ever used ever best product ever wow amazing.,Clothing,3,jgonzalez,253.92.121.186,1751887888607,1751889088607,CG
Very satisfied not fake review trust me genuine genuine genuine.,Clothing,4,joshua83,148.6.143.128,1749701248607,1749704668607,CG
The item works perfect perfect perfect wow wow wow.,Food,1,audrey24,13.245.167.243,1749083788607,1749084808607,CG
This product is the best I ever used ever best product ever wow amazing.,Beauty,2,andersonkim,53.71.115.149,1745286928607,1745289688607,CG
This product is the best I ever used ever best product ever wow amazing.,Clothing,2,joebaker,194.170.195.143,1746971848607,1746972928607,CG
Good good good nice nice nice awesome awesome awesome.,Toys,5,justinpeters,215.99.244.23,1752447868607,1752448168607,CG
I’ve been using it for a week and it’s performing really well.,Home,4,erik50,124.71.105.152,1753581808607,1753583368607,OR
Amazing experience! Totally worth the money.,Food,5,kevinpowell,4.160.6.202,1751788048607,1751789188607,OR
I’ve been using it for a week and it’s performing really well.,Beauty,4,tamaramatthews,144.56.253.206,1753856128607,1753858948607,OR
The item works perfect perfect perfect wow wow wow.,Toys,5,ericweeks,113.132.39.147,1748741188607,1748743048607,CG
Customer service was very responsive and helpful.,Clothing,5,rhonda84,116.130.72.118,1746036508607,1746038608607,OR
I’ve been using it for a week and it’s performing really well.,Home,3,robert40,3.193.211.106,1745001148607,1745001628607,OR
The product quality is excellent and exactly as described.,Electronics,1,michellejones,108.59.9.230,1756741528607,1756744888607,OR
I’ve been using it for a week and it’s performing really well.,Books,2,michael50,162.77.35.26,1752001588607,1752005128607,OR
Good good good nice nice nice awesome awesome awesome.,Home,3,elizabethallen,13.94.97.179,1754906848607,1754907028607,CG
Fast delivery and great packaging.,Books,5,millerlisa,9.8.255.36,1756092688607,1756093948607,OR
Good good good nice nice nice awesome awesome awesome.,Books,4,gjackson,96.50.192.153,1752993028607,1752994828607,CG
The item works perfect perfect perfect wow wow wow.,Beauty,4,jessica71,231.177.177.192,1756120048607,1756120288607,CG
Customer service was very responsive and helpful.,Beauty,5,lgarrison,108.39.206.101,1756603828607,1756605928607,OR
Fast delivery and great packaging.,Clothing,1,susanwatson,198.108.108.79,1751127928607,1751129548607,OR
The product quality is excellent and exactly as described.,Home,3,david54,210.78.174.236,1749050968607,1749052588607,OR
I’ve been using it for a week and it’s performing really well.,Beauty,1,hallcaleb,142.187.141.174,1745249908607,1745252368607,OR
Excellent quality very very very good nice and awesome product.,Clothing,3,ktrujillo,3.254.21.155,1750788148607,1750789948607,CG
Customer service was very responsive and helpful.,Home,1,mark20,142.193.18.246,1755080248607,1755082828607,OR
The item works perfect perfect perfect wow wow wow.,Books,5,nicholas99,222.15.179.191,1746948268607,1746950608607,CG
Excellent quality very very very good nice and awesome product.,Food,1,ufox,22.57.196.96,1748850568607,1748850748607,CG
Good good good nice nice nice awesome awesome awesome.,Home,2,nrivera,159.11.146.165,1745874028607,1745876668607,CG
Customer service was very responsive and helpful.,Toys,3,bryantmark,85.224.180.252,1753809568607,1753812808607,OR
Amazing experience! Totally worth the money.,Home,1,jamie71,150.41.76.238,1748112628607,1748114668607,OR
Customer service was very responsive and helpful.,Beauty,5,shannonfoster,16.21.181.151,1749631828607,1749632248607,OR
This product is the best I ever used ever best product ever wow amazing.,Clothing,1,mark20,53.80.175.208,1746023428607,1746024088607,CG
Customer service was very responsive and helpful.,Beauty,1,toddboyle,218.207.137.178,1754772808607,1754773408607,OR
The product quality is excellent and exactly as described.,Home,5,elizabethallen,98.52.169.194,1753114648607,1753118188607,OR
This product is the best I ever used ever best product ever wow amazing.,Food,2,tjones,85.235.64.51,1749589708607,1749590248607,CG
The product quality is excellent and exactly as described.,Books,5,millerlisa,94.8.200.151,1747537768607,1747538908607,OR
